point_id,obj_id,obj_size,C,Na,P,S,K,Ca,Fe,Histone H3,SMA,Total Tau,MAP2,Cathepsin D,Podoplanin,CD56,CD31,SV2A,GlnSyn,Iba1,HSP60,CollagenIV,Ki-67,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,CD45,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,Astrocytes2
1,1,6964,0,0,0.044802,0.27743,119.8,93.805,0.17461,0,0,0.83314,0.24885,0.036904,0,0.20764,0,0.071798,3.4236,0.034176,0.022401,0.0045951,0,0.1894,0,0,0.019242,0.59003,0,0.0012924,0.0021539,0.044084,0.017662,0.53461,0,0.056002,0,0,0,0.007467,0.46324,0.0078978,0.43308,0.77714,3.4311
1,2,6777,0,0,0.1117,0.1843,113.46,72.165,0.26782,0.00044267,0,0.91501,0.20009,0,0,0.17397,0,0.039988,2.1961,0,0,0.034676,0,0.19596,0,0,0.022871,0.53696,0.052383,0,0.0064925,0.036152,0,0.45374,0.0020658,0.046923,0.0064925,0,0,0.017117,0.058433,0,0.20924,0.50745,2.2132
1,3,4720,0,0,0.047246,0.17373,87.907,99.775,0.88602,0.0038136,0,1.7597,0.37309,0.17479,0,0.33538,0.014407,0.14407,2.1665,0.40275,0.028602,0.044492,0,0.27775,0,0,0.019915,1.0542,0.0038136,0.0038136,0.037712,0.068856,0.015254,0.83623,0.029449,0.063347,0,0.0038136,0,0.057627,0.60233,0.047246,0.056356,0.33263,2.2242
1,4,513,0,0,0.031189,0.29825,135.77,100.91,0.017544,0,0,1.1988,0.29045,0,0,0.25341,0,0.093567,1.8655,0,0,0,0,0.28655,0,0,0.023392,0.93177,0,0,0,0.052632,0,0.73684,0,0.060429,0,0,0,0.0097466,0,0,0.26901,0.75439,1.8752
1,5,2500,0,0,0.066,0.3176,142,100.02,0.2384,0,0,0.9344,0.2528,0,0,0.188,0,0.0688,2.2936,0.0448,0.0052,0.0936,0,0.3992,0.0088,0.0336,0.0588,0.6764,0.136,0.0108,0.0204,0.0416,0.0028,0.4696,0,0.0644,0.0336,0.0056,0.01,0.022,0.0108,0,0.2736,0.8004,2.3156
1,6,691,0,0,0.070912,0.21418,111.68,91.129,0.14327,0,0,1.0014,0.233,0,0,0.27496,0,0.0767,1.8799,0,0,0,0,0.22431,0,0,0.011577,0.61216,0,0,0,0.053546,0,0.56585,0,0.047757,0,0,0,0.083936,0.37192,0,0.096961,0.51954,1.9638
1,7,22610,0,0,0.044184,0.18103,89.739,95.766,0.51592,0.063423,0,1.3493,0.31946,0.18594,0,0.28253,0.006015,0.10075,3.3037,0.11079,0.055639,0.031137,0,0.3682,0.010261,0.017647,0.048165,0.78439,0.086422,0.014463,0.036975,0.067581,0.022733,0.62698,0.0029191,0.063335,0.038213,0.0067227,0.0035383,0.16068,0.55683,0.040027,0.095577,0.45042,3.4644
1,8,862,0,0,0.042923,0.32135,127.55,97.767,0.10789,0,0,1.297,0.28422,0,0,0.21694,0,0.11021,2.0882,0,0,0,0,0.24478,0,0,0.020882,0.9478,0,0,0,0.046404,0.0081206,0.86427,0,0.060325,0,0,0,0.070766,0.2645,0,0.23898,0.7587,2.1589
1,9,2517,0,0,0.10369,0.23957,108.24,81.785,0.32499,0,0,0.85697,0.22686,0,0,0.21613,0,0.06476,1.9456,0.0035757,0,0.053635,0,0.24275,0,0,0.023838,0.49662,0.068733,0.0063568,0.0059595,0.034962,0.0043703,0.46802,0,0.051251,0.0051649,0,0,0.14342,0,0,0.63568,0.59356,2.089
1,10,1333,0,0,0.057014,0.30083,102.01,94.419,0.069767,0,0,1.0893,0.29182,0,0,0.24756,0,0.055514,2.0015,0,0,0.030008,0,0.26257,0,0,0.019505,0.7967,0.012003,0,0.04126,0.052513,0.014254,0.51913,0,0.056264,0,0,0.0022506,0.086272,0.057764,0,0.1913,0.66167,2.0878
1,11,1614,0,0,0.043371,0.37175,146.34,108.28,0.66357,0,0,1.1338,0.28005,0.0018587,0,0.26456,0,0.094796,2,0.091078,0.0080545,0.0043371,0,0.23978,0,0,0.016729,0.78439,0,0,0.032218,0.048947,0.0030979,0.69455,0.00061958,0.05824,0,0,0,0,0.035936,0.0061958,0.34449,0.89095,2
