point_id,obj_id,obj_size,C,Na,P,S,K,Ca,Fe,Histone H3,SMA,Total Tau,MAP2,Cathepsin D,Podoplanin,CD56,CD31,SV2A,GlnSyn,Iba1,HSP60,CollagenIV,Ki-67,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,CD45,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,Vessel_testSub,Vessel2
1,1,35740,0,0,0.086318,0.35207,114.58,89.697,0.51847,0.055204,0,0.96329,0.23551,0,0,0.21027,0.001427,0.06939,1.1911,0.0038332,0.0019026,0.055428,0.00016788,0.75515,0.035227,0.0068271,0.12057,0.60719,0.16877,0.0051203,0.010772,0.043816,0.0021544,0.51105,0.0017907,0.0561,0.12322,0.033156,0.028959,0.058814,0.044572,0.0022384,1.0961,0.93962,0.36013,0.29712
1,2,34460,0,0,0.11628,0.18517,97.232,63.933,0.8036,0.081021,0,0.64893,0.16561,0.0032211,0,0.13508,0.0012768,0.027423,1.2494,0.056471,0.0025247,0.053569,0,0.38891,0.006094,0.020081,0.089582,0.28836,0.25305,0.0033952,0.0064423,0.027162,0.0011317,0.26492,0.00040627,0.041033,0.12324,0.0068195,0.0039466,0.01303,0.03462,0.0028729,0.1563,0.43305,0.44347,0.37969
1,3,5984,0,0,0.068683,0.26387,122.12,88.85,0.46624,0,0,0.61965,0.22627,0.0055147,0,0.14121,0.016377,0.036932,0.98195,0.040608,0.00066845,0.12884,0,1.5979,0.087233,0.093416,0.28643,0.45521,0.29863,0.037266,0.0021725,0.036096,0,0.29027,0.0020053,0.050134,0.81334,0.14555,0.069519,0.023229,0.064505,0.0068516,0.20605,0.62868,1.3852,1.1492
1,4,11020,0,0,0.058348,0.26642,89.989,83.294,0.40299,0,0,0.87241,0.2147,0,0,0.19555,0,0.055717,1.0581,0,0.00036298,0.068966,0,0.46234,0.0056261,0.039564,0.046733,0.60563,0.201,0.013067,0.0092559,0.042559,0.0010889,0.45245,0,0.047731,0.091289,0.011343,0.0045372,0.0064428,0.021143,0,0.1549,0.56887,0.41388,0.30535
1,5,53717,0,0,0.060856,0.22857,89.083,88.732,1.0412,0.18335,0.00035371,1.0351,0.27086,0.069345,0.00040955,0.23829,0.0054545,0.076158,1.7682,0.12471,0.018802,0.090511,0.00052125,0.60128,0.023028,0.037139,0.093676,0.67831,0.27099,0.014427,0.025672,0.05434,0.0095314,0.47415,0.0047657,0.053875,0.12099,0.019286,0.016717,0.075879,0.32675,0.021334,0.12692,0.48048,0.51892,0.40641
1,6,30110,0,0,0.050017,0.18821,84.459,90.262,0.78389,0.24709,0.029293,0.92863,0.27811,0.044171,0,0.22939,0.0052474,0.065593,2.4925,0.081767,0.030953,0.16423,0.0036533,0.26553,0.0030223,0.038725,0.0365,0.52893,0.33593,0.027997,0.020658,0.050747,0.0080372,0.41777,0.0019927,0.051245,0.035702,0.0011624,0.0019595,0.09462,0.24244,0.012753,0.05284,0.29213,0.59263,0.39963
1,7,10667,0,0,0.072185,0.31302,94.556,93.026,0.82751,0.21131,0,0.98969,0.2518,0,0,0.22977,0,0.07556,1.1835,0.00056248,0,0.091122,0,0.58929,0.014906,0.036093,0.059154,0.76666,0.3148,0.017999,0.015468,0.05353,0.0029999,0.54505,0.00018749,0.052498,0.13153,0.0082497,0.007031,0.0074998,0.088028,0,0.17774,0.62895,0.59154,0.46433
1,8,6935,0,0,0.10166,0.35141,154.29,105.01,1.7808,0.7527,0,1.0085,0.2522,0.00072098,0,0.18356,0.0064888,0.044845,1.3327,0.012833,0.0057678,0.15126,0,0.3677,0,0.08969,0.085364,0.3279,0.34448,0.010382,0.0054795,0.037347,0.0012978,0.32545,0,0.054362,0.10959,0,0.0018745,0,0.096611,0,0.30123,0.86373,0.7119,0.46446
1,9,5398,0,0,0.068729,0.21934,129.35,83.504,0.32938,0.029826,0,0.7236,0.21415,0,0,0.15228,0,0.029641,1.2755,0.079289,0.0031493,0.13764,0,0.44424,0.010189,0.23546,0.20823,0.33364,0.27066,0.052427,0.033531,0.034642,0.0016673,0.2651,0.0027788,0.054094,0.37514,0.030011,0.0037051,0.018525,0.035013,0,0.19415,0.62912,1.0597,0.69822
1,10,6382,0,0,0.071294,0.28988,92.446,81.329,1.1125,0,0,1.0414,0.23645,0.00047007,0,0.2095,0,0.065967,1.3312,0.013005,0.010812,0.15403,0,0.98041,0.040113,0.043403,0.13099,0.48276,0.24224,0.0051708,0.040426,0.037449,0.002037,0.41977,0.0010968,0.050298,0.13475,0.051708,0.033845,0.055782,0.071921,0.0059542,0.18019,0.55484,0.57882,0.38217
