Isotope,Label,Start,Stop,BaselineStart,BaselineEnd,Batch,NoiseT,nnK,GausFlag,AggFilter,Working
56,Fe,55.7,56.2,55.5,55.6,0,2.5,25,1,50,NA
89,Histone H3,88.7,89,88.5,88.6,0,2,25,1,50,NA
113,SMA,112.7,113,112.5,112.6,0,7,25,1,50,NA
115,Total Tau,114.7,115,114.5,114.6,0,0,25,1,50,NA
141,MAP2,140.7,141,140.5,140.6,0,0,25,1,50,
145,CD56,144.7,145,144.5,144.6,0,0,25,1,50,NA
148,CD31,147.7,148,147.5,147.6,0,0,25,1,50,NA
151,GlnSyn,150.7,151,150.5,150.6,0,0,25,1,50,
152,Iba1,151.7,152,151.5,151.6,0,0,25,1,50,NA
154,CollagenIV,153.7,154,153.5,153.6,0,0,25,1,50,NA
156,Albumin,155.7,156,155.5,155.6,0,0,25,1,50,NA
157,CD36,156.7,157,156.5,156.6,0,0,25,1,50,
158,Endoglin_CD105,157.7,158,157.5,157.6,0,0,25,1,50,NA
160,Amyloid A,159.7,160,159.5,159.6,0,0,25,1,50,NA
161,VAMP2,160.7,161,160.5,160.6,0,0,25,1,50,NA
162,GLUT1,161.7,162,161.5,161.6,0,0,25,1,50,NA
163,vWF,162.7,163,162.5,162.6,0,0,25,1,50,NA
165,MAG,164.7,165,164.5,164.6,0,0,25,1,50,NA
166,VGLUT1,165.7,166,165.5,165.6,0,0,25,1,50,NA
167,VGLUT2,166.7,167,166.5,166.6,0,0,25,1,50,NA
168,Synaptophysin,167.7,168,167.5,167.6,0,0,25,1,50,NA
170,PSD95,169.7,170,169.5,169.6,0,0,25,1,50,NA
171,Fibrinogen,170.7,171,170.5,170.6,0,0,25,1,50,NA
172,Gephyrin,171.7,172,171.5,171.6,0,0,25,1,50,NA
173,CD44,172.7,173,172.5,172.6,0,0,25,1,50,NA
174,GFAP,173.7,174,173.5,173.6,0,0,25,1,50,NA
175,8OHG,174.7,175,174.5,174.6,0,0,25,1,50,NA
176,HLA-DR,175.7,176,175.5,175.6,0,0,25,1,50,NA
181,Ta,180.7,181,180.5,180.6,0,0,25,1,50,NA
197,Au,196.7,197,196.5,196.6,0,0,25,1,50,NA
