pointID,vesselID,vesselSize,step,stepSize,Fe,Histone H3,SMA,Total Tau,MAP2,CD56,CD31,GlnSyn,Iba1,CollagenIV,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,CellType1,CellType2,CellType3,CellType4,Astrocytes2Ratio,Microglia2Ratio
1,1,35740,-40,53,0,1.9245,0,0.71698,0,0.35849,0,0,0,0,4.6981,0.22642,0.22642,0.86792,0.86792,0.20755,0,0,0.037736,0,0,0,1.8491,0.41509,0.86792,0,0,0,1.1509,2.6038,1,0,0,0,0,0
1,2,34460,-40,150,1.54,0,0,0.19333,0,0.20667,0,1.12,0.02,0.14,0.94,0,0.14,0.34667,0.28667,1.2067,0.06,0,0.06,0,0,0,1.2933,0.06,0,0,0,0,0.6,1.74,0,0,0,0,0.026667,0.02
1,8,6935,-40,50,3.8,2.56,0,0.14,0,0,0,0.66,0,0.08,0.52,0,0.48,0.28,0,1.48,0,0,0.16,0,0,0,0.04,0,0,0,0,0,0.92,2.32,1,0,0,0,0,0
1,9,5398,-40,4,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,2.75,0,0,0,0,0,0
1,17,8304,-40,81,6.5926,0,0,0.4321,0,0,0,0.37037,0,0.22222,0.64198,0,0.44444,0.098765,0.024691,1.1358,0,0,0.098765,0,0,0,0,0,0,0,0.19753,0,0.69136,2.3827,0,0,0,0,0,0
1,19,10387,-40,112,3.9018,0,0,0.71429,0.14286,0.035714,0.15179,0.94643,0,0.33929,5.0714,0.33929,0.77679,1.5893,0.10714,1.6071,0.14286,0,0.125,0.053571,0.26786,0,3.9107,0.60714,0.19643,0.080357,0,0.089286,0.41964,2.1071,0,0,0,0,0,0
1,20,43270,-40,400,5.515,1,0,1.2275,0,0.1025,0.025,1.4225,0,0.19,0.6025,0.0475,0.2675,0.1525,0.4475,0.8475,0.15,0.0375,0.08,0,0.21,0,0.06,0,0,0.015,0.635,0,2.67,3.1525,0.42,0,0,0,0.235,0
1,21,22478,-40,246,4.9878,3.1098,0.03252,0.34146,0,0.02439,0,2.3902,0,0.18699,0.21951,0,0.11382,0.056911,0.11382,0.56911,0,0,0.03252,0,0.02439,0,0.056911,0,0.0081301,0,0.15447,0,0.65854,2.2927,0.97967,0,0,0,0.11382,0
1,1,35740,-39,65,0.18462,1.7077,0,1.0154,0,0.15385,0,0.18462,0,0,4.3077,0.29231,0.030769,1.5692,0.46154,0.26154,0,0,0.092308,0,0,0,1.9538,0.52308,0.4,0,0,0,1.4154,1.7077,1,0,0,0,0,0
1,2,34460,-39,177,1.0113,0,0,0.16384,0,0.033898,0,0.79096,0.096045,0.15254,1.0904,0,0.084746,0.24859,0.33333,1.4802,0.033898,0,0.067797,0,0.011299,0,1.2147,0.050847,0,0.016949,0,0,0.45763,1.5876,0,0,0,0,0.028249,0.028249
1,3,5984,-39,7,3.4286,0,0,0,0,0,0,0,0,0,2,0,0,0.57143,0,0.28571,0,0,0,0,0,0,2,0.85714,0.28571,0,0,0,0.28571,2,0,0,0,0,0,0
1,8,6935,-39,56,2.6071,3.5357,0,0.14286,0,0,0,0.89286,0,0.14286,1.0714,0,0.60714,0.39286,0,1.8929,0,0,0.17857,0,0,0,0.10714,0,0,0,0,0,0.94643,1.6964,1,0,0,0,0,0
1,9,5398,-39,19,0,0,0,0,0,0,0,0,0,0,1.1579,0,0.31579,0.21053,0,0.21053,0,0,0,0,0,0,0.47368,0,0,0,0,0,0.78947,1.7368,0,0,0,0,0,0
1,17,8304,-39,88,4.5341,0,0,0.46591,0,0,0,0.40909,0,0.11364,0.61364,0,0.47727,0.13636,0.27273,1.5227,0.022727,0,0.022727,0,0,0,0,0,0,0,0.11364,0,0.93182,2.9318,0,0,0,0,0,0
1,19,10387,-39,130,3.4308,0,0,0.63077,0.092308,0.092308,0.16154,1.0615,0,0.35385,5.7615,0.49231,0.6,1.6462,0.18462,1.7077,0.084615,0,0.061538,0.061538,0.13846,0,3.4538,0.64615,0.33077,0.015385,0,0.046154,0.36923,2.0923,0,0,0,0,0,0
1,20,43270,-39,490,4.2735,0.93061,0,0.98776,0,0.15306,0.057143,1.5959,0,0.22857,0.76531,0.028571,0.23673,0.1551,0.44694,0.86531,0.19796,0.032653,0.036735,0,0.21224,0,0.063265,0,0,0.0081633,0.3449,0,1.9755,2.6082,0.37347,0,0,0,0.21633,0
1,21,22478,-39,261,5.2759,2.8582,0.022989,0.40996,0,0.022989,0,2.2874,0,0.2682,0.39847,0.015326,0.11494,0.05364,0.045977,0.61303,0,0,0.061303,0,0.0076628,0,0.14176,0,0,0.015326,0.18774,0,0.68966,2.2222,0.96169,0,0,0,0.11494,0
1,1,35740,-38,82,0.81707,1.2195,0,0.4878,0,0.13415,0,0.4878,0,0,3.3537,0.19512,0.02439,1.061,0.36585,0.23171,0,0,0.17073,0,0.097561,0,1.7439,0.52439,0.2561,0,0.02439,0,1.8415,2.7683,0.97561,0,0,0,0,0
